Suburb,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount,Direction,FloorCount,WalkScore,SchoolNearby,HospitalNearby,PublicTransport,PropertyCondition,HeatingType,GarageType,RenovatedYear
Essendon,2,u,2380454.0,SP,Barry,3/12/2016,3.5,3147,2.0,2.0,3.0,1979.4,,1881.0,Moreland,-37.6759,144.7783,Eastern Metropolitan,8980,S,4.0,77.0,No,,No,Average,None,Double,
Richmond,1,t,1646102.0,VB,Marshall,7/5/2017,20.1,3135,1.0,1.0,2.0,1621.5,460.7,,Boroondara,-37.6656,144.8358,South-Eastern Metropolitan,5971,N,4.0,41.0,Yes,,No,Poor,Solar,Single,2015.0
Malvern,6,u,254011.0,S,hockingstuart,4/2/2017,17.4,3097,1.0,2.0,3.0,650.4,,,Port Phillip,-37.6604,145.1933,Southern Metropolitan,21063,SE,2.0,94.0,No,Yes,No,,,,1992.0
Coburg,1,u,2214724.0,VB,hockingstuart,1/9/2018,32.6,3048,3.0,3.0,5.0,2508.5,95.1,1994.0,Darebin,,144.979,Southern Metropolitan,1033,S,2.0,,No,Yes,Yes,,Gas,Carport,2007.0
South Yarra,1,h,269782.0,S,hockingstuart,4/2/2017,10.5,3086,,1.0,,652.4,371.0,,Moonee Valley,-37.8358,145.092,Northern Metropolitan,6768,S,,,,Yes,,Average,Solar,Double,1996.0
St Kilda,5,u,2338097.0,PI,Nelson,4/2/2017,10.9,3037,5.0,1.0,,782.3,455.3,,Darebin,-37.8831,144.8059,Western Metropolitan,680,S,1.0,55.0,Yes,Yes,No,Excellent,None,Double,
South Yarra,5,u,682941.0,S,Marshall,3/12/2016,,3052,1.0,3.0,,,123.5,,Port Phillip,-37.5789,,Northern Metropolitan,3532,W,2.0,36.0,No,Yes,No,,Electric,Single,2015.0
South Yarra,2,h,1832060.0,SA,Marshall,7/5/2017,10.0,3027,5.0,3.0,,516.5,,1930.0,Yarra,-37.5847,144.9553,South-Eastern Metropolitan,28640,E,,84.0,Yes,Yes,Yes,Poor,None,Single,2004.0
Brunswick,4,t,,VB,Nelson,7/5/2017,6.3,3076,3.0,4.0,,,,1953.0,Moreland,-37.853,145.1063,Eastern Metropolitan,15265,NW,4.0,88.0,No,No,Yes,Average,Solar,Double,2013.0
Brunswick,2,t,,S,Marshall,4/2/2017,30.3,3156,4.0,1.0,2.0,1826.0,,1863.0,Moonee Valley,-37.8828,144.7108,Western Metropolitan,26143,NE,1.0,85.0,Yes,Yes,No,Excellent,None,Single,2009.0
Northcote,3,u,853151.0,SP,Nelson,4/2/2017,20.4,3199,6.0,3.0,5.0,,,,,-37.7999,145.1302,Northern Metropolitan,11582,SE,4.0,97.0,No,No,No,Poor,,Double,2013.0
Coburg,1,t,2073327.0,PI,Biggin,18/6/2016,30.4,3138,3.0,3.0,1.0,,,1953.0,,-37.9306,144.7398,South-Eastern Metropolitan,13157,SE,,59.0,,No,Yes,Excellent,None,,
Northcote,6,u,2716825.0,SP,Barry,3/12/2016,29.4,3174,2.0,1.0,3.0,,184.3,1889.0,Yarra,-37.8851,145.1583,South-Eastern Metropolitan,1429,SE,1.0,52.0,,No,,Average,Electric,None,
Coburg,1,h,2034292.0,SP,hockingstuart,1/9/2018,11.3,3172,4.0,4.0,,67.5,170.5,,Darebin,-37.7979,144.7714,Southern Metropolitan,8463,W,,46.0,No,Yes,,Average,,Double,
Malvern,1,h,2578389.0,SP,Nelson,1/9/2018,20.1,3017,4.0,2.0,3.0,,,1969.0,Moonee Valley,-37.8545,144.9661,Northern Metropolitan,5014,,4.0,,Yes,,No,Average,None,None,
Moonee Ponds,2,u,2090277.0,PI,Nelson,7/5/2017,4.7,3049,4.0,4.0,2.0,,,1933.0,Boroondara,-37.6553,144.7497,Northern Metropolitan,17847,S,1.0,99.0,No,Yes,Yes,Average,,,1991.0
Richmond,6,h,1158063.0,PI,Nelson,3/12/2016,32.2,3088,3.0,3.0,,1459.1,,,Moreland,-37.588,144.9236,South-Eastern Metropolitan,7420,S,4.0,,No,No,No,Poor,Electric,Carport,
South Yarra,6,h,556024.0,PI,Biggin,7/5/2017,15.3,3176,2.0,2.0,,232.5,108.6,,Port Phillip,-37.5863,144.8496,Northern Metropolitan,20233,W,3.0,77.0,No,,No,Poor,,Double,2019.0
Malvern,6,u,364003.0,PI,Nelson,1/9/2018,15.0,3149,6.0,2.0,4.0,1390.6,538.0,,Boroondara,-37.7083,144.91,Southern Metropolitan,28592,NE,1.0,34.0,No,No,Yes,Average,Solar,Double,
Moonee Ponds,2,u,1437968.0,SP,Barry,4/2/2017,12.0,3044,5.0,4.0,,898.3,,1935.0,Boroondara,-37.6686,144.9725,Western Metropolitan,7884,,3.0,50.0,,,No,Excellent,Electric,None,
Essendon,1,h,2396741.0,SA,Barry,3/12/2016,17.2,3188,,2.0,,860.0,374.5,2021.0,Darebin,-37.7524,144.9297,South-Eastern Metropolitan,3656,W,3.0,79.0,No,Yes,Yes,Excellent,,Double,
Preston,2,t,500606.0,SA,hockingstuart,3/12/2016,10.3,3126,1.0,,5.0,706.0,,,Boroondara,-37.8913,144.7116,Southern Metropolitan,3340,NW,2.0,49.0,,Yes,Yes,,Electric,None,
Collingwood,5,t,,PI,Biggin,18/6/2016,14.4,3092,1.0,1.0,,1031.0,,1993.0,Moonee Valley,-37.696,145.1317,Southern Metropolitan,8004,E,4.0,56.0,No,No,Yes,Good,Gas,Double,
Hawthorn,5,u,810185.0,VB,Barry,4/2/2017,28.4,3020,3.0,1.0,,1091.7,,,Darebin,,144.7475,Eastern Metropolitan,19010,SW,3.0,31.0,No,No,No,Good,Electric,Single,1995.0
Camberwell,2,u,2536789.0,S,Marshall,4/2/2017,29.5,3198,5.0,1.0,0.0,960.9,200.3,1974.0,Port Phillip,-37.9477,145.1903,Western Metropolitan,22522,N,2.0,76.0,No,Yes,Yes,,Electric,None,
Coburg,6,t,936290.0,VB,Marshall,7/5/2017,12.0,3188,1.0,4.0,2.0,,,2002.0,Boroondara,-37.72,145.1257,Southern Metropolitan,4398,NW,4.0,69.0,Yes,Yes,Yes,Poor,,Carport,
Essendon,1,h,2011169.0,VB,Marshall,3/12/2016,17.5,3075,5.0,1.0,5.0,2801.6,,1965.0,Darebin,-37.8707,144.9807,Eastern Metropolitan,18643,SE,1.0,,No,No,No,Average,Solar,Single,
Preston,2,t,2099388.0,VB,Nelson,7/5/2017,30.8,3163,,,3.0,1744.8,,1962.0,Moonee Valley,-37.5954,144.8226,Eastern Metropolitan,1979,NE,,42.0,Yes,,Yes,Poor,Electric,Double,1993.0
St Kilda,2,t,2030832.0,SA,Nelson,4/2/2017,,3151,3.0,1.0,,,,2006.0,Moreland,-37.5764,144.7431,Northern Metropolitan,21686,SW,3.0,,No,Yes,Yes,Average,Gas,None,
Reservoir,2,t,2927270.0,S,Marshall,18/6/2016,31.3,3159,4.0,2.0,,,431.8,,Yarra,-37.8851,145.0359,Southern Metropolitan,15124,NE,,,Yes,No,Yes,Average,,,
Richmond,3,t,2614825.0,VB,hockingstuart,3/12/2016,9.2,3090,1.0,2.0,3.0,,,1936.0,Darebin,-37.9382,144.8008,South-Eastern Metropolitan,8151,SW,4.0,35.0,No,No,No,Average,None,Double,
Camberwell,5,u,,PI,hockingstuart,4/2/2017,24.4,3186,5.0,2.0,2.0,1363.3,426.8,1954.0,Port Phillip,-37.9484,145.0666,Northern Metropolitan,17860,W,1.0,97.0,Yes,Yes,,Poor,Electric,,2014.0
Northcote,6,u,1007582.0,SA,Nelson,18/6/2016,21.2,3095,,3.0,,2879.2,,1966.0,Yarra,-37.5848,145.1163,Western Metropolitan,26036,W,,96.0,Yes,,,,Gas,Single,2022.0
Northcote,4,h,2430139.0,PI,Marshall,1/9/2018,20.2,3095,1.0,3.0,,1845.4,,1971.0,Moreland,-37.8892,145.1945,South-Eastern Metropolitan,3927,SW,4.0,81.0,Yes,Yes,Yes,,,,2004.0
Moonee Ponds,6,h,,PI,hockingstuart,4/2/2017,,3217,2.0,3.0,,,,1911.0,Port Phillip,,144.9521,South-Eastern Metropolitan,28975,SW,,,Yes,Yes,,Poor,,,2009.0
Camberwell,4,h,814174.0,VB,Nelson,1/9/2018,5.4,3074,4.0,1.0,5.0,,,1877.0,Moonee Valley,-37.9271,145.1873,Eastern Metropolitan,16964,S,1.0,32.0,No,No,No,Excellent,,Single,2001.0
Brunswick,3,h,1872563.0,PI,Marshall,7/5/2017,13.5,3109,2.0,2.0,,657.0,,1916.0,Port Phillip,-37.8007,144.7747,Southern Metropolitan,7789,W,,46.0,Yes,Yes,Yes,Good,,Double,2003.0
Preston,2,t,1899260.0,S,Biggin,1/9/2018,19.8,3081,,3.0,3.0,,,,Moreland,-37.6358,145.1181,Eastern Metropolitan,5165,,4.0,,No,No,No,Good,,,2011.0
Reservoir,3,u,,PI,Marshall,4/2/2017,28.8,3127,6.0,4.0,,721.3,76.4,,Yarra,-37.7873,144.8799,Eastern Metropolitan,19743,SW,,86.0,No,,No,Excellent,Solar,Double,
Essendon,3,u,,VB,Marshall,1/9/2018,9.1,3102,1.0,2.0,0.0,772.7,422.9,2019.0,Moonee Valley,-37.6398,144.8824,Southern Metropolitan,10348,S,2.0,51.0,,No,No,Excellent,Gas,Double,2001.0
Richmond,1,h,2778474.0,PI,Barry,3/12/2016,28.5,3132,3.0,1.0,2.0,63.7,294.4,,,-37.6745,144.8343,Southern Metropolitan,27625,N,1.0,40.0,No,Yes,No,Excellent,None,None,2009.0
Malvern,5,h,2457928.0,SA,Barry,4/2/2017,15.2,3143,5.0,2.0,1.0,2648.1,,1878.0,Boroondara,-37.7431,144.7867,Southern Metropolitan,1571,E,4.0,,Yes,No,Yes,Excellent,,None,2017.0
Preston,4,t,2715596.0,SA,Biggin,18/6/2016,8.2,3138,1.0,1.0,0.0,923.2,,,Boroondara,-37.6549,,Eastern Metropolitan,26736,NE,,,,Yes,Yes,Excellent,,Single,
Reservoir,2,t,460809.0,SA,Biggin,1/9/2018,27.0,3034,,3.0,4.0,304.8,,,,-37.5984,145.1936,Southern Metropolitan,15768,,3.0,,No,Yes,Yes,,Electric,Single,
Collingwood,4,h,1470192.0,SP,Marshall,3/12/2016,5.0,3111,6.0,1.0,,306.6,93.1,1946.0,Boroondara,-37.6328,144.865,Southern Metropolitan,11404,,3.0,64.0,,Yes,,Good,None,Double,
Coburg,6,u,1663967.0,SA,hockingstuart,7/5/2017,19.0,3202,4.0,1.0,,1690.3,500.5,1957.0,Port Phillip,-37.6733,144.9305,South-Eastern Metropolitan,19340,NW,1.0,72.0,No,Yes,Yes,Average,None,None,2003.0
Malvern,4,u,783285.0,SA,Biggin,7/5/2017,4.1,3169,5.0,4.0,4.0,2979.1,159.9,,Yarra,-37.6693,144.8143,Eastern Metropolitan,9516,W,3.0,,Yes,Yes,No,Poor,Solar,Double,
Northcote,6,u,1122143.0,SP,Marshall,1/9/2018,13.8,3086,6.0,2.0,0.0,477.8,,2000.0,Boroondara,-37.8856,,Southern Metropolitan,3584,W,,70.0,No,Yes,Yes,Average,,Double,
Malvern,5,h,2912300.0,SA,Nelson,7/5/2017,21.8,3118,3.0,1.0,5.0,343.9,,1891.0,Darebin,-37.5697,144.7276,Eastern Metropolitan,18752,W,,93.0,Yes,Yes,No,Excellent,Gas,,2005.0
Essendon,6,u,1932978.0,VB,Barry,18/6/2016,20.4,3097,1.0,4.0,2.0,1343.0,,,Moonee Valley,-37.8677,145.178,Western Metropolitan,4351,NE,,44.0,Yes,Yes,No,Average,Electric,,
Northcote,4,t,2984658.0,SA,hockingstuart,4/2/2017,15.4,3080,3.0,4.0,1.0,1711.8,,2005.0,Boroondara,-37.8104,144.9549,Northern Metropolitan,6867,E,3.0,73.0,,No,,Poor,Electric,Double,1990.0
Essendon,4,t,2869222.0,SA,Marshall,3/12/2016,16.2,3137,4.0,4.0,5.0,,,1914.0,Darebin,-37.7428,145.0665,South-Eastern Metropolitan,21206,SW,4.0,,No,Yes,No,Excellent,Electric,Double,2017.0
Moonee Ponds,6,h,2185772.0,SP,Nelson,1/9/2018,9.5,3081,1.0,3.0,4.0,,,,Boroondara,-37.8995,144.9566,South-Eastern Metropolitan,1487,W,,88.0,No,No,No,Excellent,Gas,None,2020.0
Brunswick,3,t,2454193.0,VB,Barry,7/5/2017,17.0,3135,4.0,3.0,2.0,1302.2,,2011.0,Boroondara,-37.7126,145.0851,Eastern Metropolitan,5983,NW,,33.0,No,Yes,Yes,,Solar,Carport,
Essendon,5,h,624368.0,PI,Nelson,4/2/2017,33.5,3025,5.0,1.0,0.0,,,,Port Phillip,-37.8769,144.967,Southern Metropolitan,8882,,3.0,,No,Yes,No,,Solar,Carport,
Northcote,1,u,2672952.0,S,Marshall,18/6/2016,30.1,3002,5.0,2.0,5.0,,,,Yarra,-37.5807,145.0508,Eastern Metropolitan,25067,,2.0,70.0,No,Yes,No,,None,Double,2022.0
Moonee Ponds,2,u,2829014.0,VB,Biggin,7/5/2017,6.8,3058,3.0,3.0,3.0,,427.0,2001.0,Darebin,-37.5945,145.0424,Northern Metropolitan,7345,SE,2.0,35.0,Yes,,No,Average,Electric,Double,2019.0
Essendon,4,u,2111663.0,PI,Barry,7/5/2017,3.0,3115,3.0,,3.0,742.0,,1878.0,Darebin,-37.7322,144.9668,South-Eastern Metropolitan,24935,NW,,68.0,Yes,No,Yes,Average,Electric,,2007.0
Collingwood,2,t,,VB,Nelson,3/12/2016,32.8,3215,5.0,1.0,2.0,2435.2,,,Moreland,,144.8153,South-Eastern Metropolitan,1523,E,,95.0,No,,Yes,,,Double,2013.0
Malvern,1,h,1301690.0,PI,Biggin,18/6/2016,19.4,3130,2.0,1.0,3.0,,586.5,1939.0,Moreland,-37.909,144.8059,Northern Metropolitan,13255,NW,4.0,,Yes,No,Yes,Excellent,Electric,Carport,
Brunswick,2,u,299768.0,PI,hockingstuart,18/6/2016,19.7,3165,5.0,,,,344.7,,Darebin,-37.6207,,Eastern Metropolitan,12815,E,,36.0,Yes,No,Yes,Good,Electric,Single,
Essendon,1,h,1711820.0,VB,Marshall,1/9/2018,27.8,3129,1.0,1.0,2.0,2922.6,,2021.0,Port Phillip,-37.7983,144.7603,South-Eastern Metropolitan,8106,E,,40.0,Yes,,,Excellent,None,,2010.0
Moonee Ponds,6,u,1223069.0,SP,Marshall,3/12/2016,12.4,3144,4.0,4.0,,2095.4,521.8,1908.0,Yarra,-37.8515,,Southern Metropolitan,3794,E,4.0,61.0,No,,No,Poor,,Single,
St Kilda,3,t,2430275.0,VB,Barry,1/9/2018,17.9,3200,5.0,1.0,3.0,,,1949.0,Boroondara,-37.5519,144.9513,Eastern Metropolitan,24011,N,4.0,80.0,No,No,,Poor,Solar,,2002.0
Preston,4,t,2513557.0,VB,Nelson,3/12/2016,34.0,3035,5.0,4.0,,,,1881.0,Moonee Valley,-37.6827,145.0992,Southern Metropolitan,8551,S,3.0,,Yes,No,Yes,Poor,Gas,,
Fitzroy,1,h,2350326.0,PI,hockingstuart,18/6/2016,24.2,3085,6.0,3.0,,926.6,,1950.0,Port Phillip,-37.9205,144.7677,Western Metropolitan,14526,NW,1.0,36.0,Yes,No,No,Average,Electric,Single,
Reservoir,2,t,367769.0,S,Barry,3/12/2016,7.1,3097,4.0,2.0,4.0,492.6,,,Boroondara,-37.6295,145.0436,Northern Metropolitan,19997,SW,,30.0,Yes,No,Yes,Excellent,Solar,,2000.0
Fitzroy,4,t,,PI,Barry,3/12/2016,6.4,3215,6.0,4.0,5.0,909.0,338.7,1865.0,Moonee Valley,-37.6498,145.0029,South-Eastern Metropolitan,4163,SW,3.0,54.0,,No,,Good,,Single,1995.0
St Kilda,3,h,2776297.0,SA,Nelson,3/12/2016,8.7,3123,4.0,2.0,4.0,1761.3,,,Yarra,-37.7895,145.0506,Northern Metropolitan,10777,N,3.0,35.0,No,No,,Poor,None,,
Fitzroy,6,u,1684269.0,VB,hockingstuart,4/2/2017,27.3,3072,1.0,3.0,,2486.6,,1944.0,Moreland,-37.9005,145.0106,Northern Metropolitan,6245,NW,,45.0,No,,No,Poor,,Double,2002.0
St Kilda,4,t,,VB,Nelson,4/2/2017,11.7,3109,4.0,1.0,,,191.3,2018.0,Darebin,-37.751,144.9813,Southern Metropolitan,8031,W,,44.0,Yes,,No,Good,Gas,Double,
Richmond,1,h,1485069.0,SP,Marshall,18/6/2016,2.7,3121,3.0,4.0,,,,1982.0,Yarra,-37.6447,145.1631,South-Eastern Metropolitan,18040,NW,3.0,51.0,Yes,No,No,Excellent,Gas,,
St Kilda,3,t,2944075.0,PI,Biggin,3/12/2016,33.2,3129,5.0,4.0,1.0,1430.6,595.7,1963.0,,-37.9196,144.8743,Western Metropolitan,14151,SW,1.0,47.0,No,Yes,Yes,,Solar,Single,
St Kilda,2,t,2108768.0,SP,Marshall,18/6/2016,7.6,3212,4.0,3.0,3.0,1951.4,,1873.0,Port Phillip,-37.8846,144.7923,Northern Metropolitan,10403,N,1.0,,No,Yes,Yes,Poor,Gas,Double,
South Yarra,3,t,1178864.0,VB,Marshall,4/2/2017,2.3,3161,1.0,3.0,3.0,2267.3,,,Darebin,-37.7024,145.0977,Southern Metropolitan,13297,,2.0,39.0,No,Yes,No,Poor,Solar,None,
St Kilda,3,t,1964249.0,PI,Barry,3/12/2016,,3026,4.0,1.0,,1014.1,,,Moonee Valley,-37.7262,144.7648,Southern Metropolitan,8854,N,,78.0,Yes,Yes,No,,None,,1993.0
Collingwood,5,h,1017166.0,PI,Marshall,1/9/2018,9.8,3164,5.0,2.0,1.0,1779.7,405.3,2014.0,,-37.588,145.0399,South-Eastern Metropolitan,4899,,2.0,99.0,Yes,No,Yes,Average,Gas,None,2022.0
Preston,3,h,2564222.0,SA,hockingstuart,4/2/2017,15.9,3198,2.0,4.0,,1198.6,510.8,1961.0,Boroondara,-37.6241,144.9748,Eastern Metropolitan,19678,E,,39.0,,No,No,Average,Solar,,2020.0
Coburg,3,h,649017.0,SA,Marshall,4/2/2017,32.4,3149,4.0,2.0,3.0,,,,Port Phillip,-37.5825,144.7006,Eastern Metropolitan,29953,N,3.0,,No,,Yes,Excellent,,Double,
Essendon,4,t,1181775.0,S,hockingstuart,4/2/2017,31.0,3067,3.0,4.0,4.0,,,1938.0,Boroondara,-37.7636,144.8199,Western Metropolitan,25129,E,1.0,87.0,No,,Yes,Poor,None,None,2000.0
Reservoir,2,t,,SA,Nelson,3/12/2016,17.1,3013,,4.0,,807.9,370.7,1897.0,Darebin,-37.6349,144.948,Southern Metropolitan,25449,S,,,Yes,Yes,,Poor,Solar,,2004.0
Brunswick,4,t,1794247.0,PI,Barry,7/5/2017,15.6,3097,1.0,1.0,,,388.6,1921.0,Moreland,,144.8649,Eastern Metropolitan,9568,,3.0,74.0,Yes,No,Yes,Average,Electric,,
Preston,4,h,2716511.0,SA,hockingstuart,1/9/2018,20.3,3022,5.0,4.0,,,,1939.0,Moreland,-37.8322,144.9134,Northern Metropolitan,6046,NE,4.0,,No,,Yes,Poor,Electric,Single,
Northcote,1,t,1097374.0,S,Marshall,1/9/2018,10.0,3171,6.0,4.0,5.0,1741.3,,2005.0,Moonee Valley,-37.6923,145.0006,Western Metropolitan,7393,NE,3.0,34.0,,No,No,Average,Solar,None,
Coburg,4,u,,VB,Barry,18/6/2016,3.7,3216,2.0,,4.0,2897.9,200.5,1976.0,,-37.6445,145.0654,Northern Metropolitan,5661,W,2.0,86.0,Yes,No,Yes,Excellent,,Double,
Richmond,5,t,1498749.0,SA,Barry,3/12/2016,33.0,3192,1.0,1.0,2.0,,,,Moreland,-37.7218,144.7756,Eastern Metropolitan,27851,N,1.0,,Yes,No,Yes,Average,Electric,Double,2003.0
Richmond,5,u,2849098.0,PI,hockingstuart,4/2/2017,8.2,3114,2.0,3.0,2.0,1407.5,584.6,1883.0,Moonee Valley,-37.7577,144.8415,Southern Metropolitan,12421,S,1.0,,Yes,No,Yes,Good,,Carport,2013.0
Hawthorn,1,t,926337.0,VB,hockingstuart,7/5/2017,8.5,3111,2.0,4.0,1.0,,,1958.0,Moonee Valley,-37.8567,145.0182,Eastern Metropolitan,8282,E,2.0,52.0,Yes,Yes,Yes,Excellent,Electric,Double,
Malvern,6,h,2273553.0,PI,Biggin,3/12/2016,17.6,3206,3.0,,2.0,,167.2,,Moonee Valley,-37.8803,144.9942,Western Metropolitan,25002,NW,2.0,86.0,Yes,,Yes,,,Carport,2006.0
St Kilda,2,t,1516302.0,VB,Biggin,3/12/2016,18.2,3095,4.0,4.0,3.0,2445.3,,1873.0,Darebin,-37.5998,145.0684,Western Metropolitan,19749,SE,,47.0,No,No,No,Poor,Gas,Single,2022.0
Preston,2,u,2346419.0,PI,Barry,7/5/2017,2.6,3077,3.0,1.0,,2532.3,60.2,,Moonee Valley,-37.8931,145.0203,Northern Metropolitan,27760,NW,3.0,,Yes,Yes,No,Average,None,,
Moonee Ponds,4,u,342172.0,SA,Biggin,4/2/2017,6.9,3060,3.0,2.0,,,263.3,1883.0,Darebin,-37.7759,144.8651,Northern Metropolitan,23369,SW,4.0,,No,Yes,No,Good,Gas,,1997.0
South Yarra,4,t,920990.0,SA,Marshall,3/12/2016,14.5,3084,6.0,2.0,5.0,1942.5,507.4,,Darebin,-37.5946,144.9496,Western Metropolitan,19592,NW,,,Yes,No,No,,None,Carport,
Fitzroy,6,u,794344.0,S,Nelson,1/9/2018,24.6,3182,3.0,1.0,4.0,,552.8,,Darebin,,145.1424,Northern Metropolitan,20172,NW,2.0,,No,Yes,No,Good,Electric,Single,2008.0
Northcote,4,u,1437030.0,VB,Barry,1/9/2018,9.5,3070,,4.0,3.0,1181.9,172.4,1888.0,Moonee Valley,-37.899,144.793,South-Eastern Metropolitan,25115,N,,57.0,No,Yes,Yes,Good,,Carport,
Richmond,2,h,1354315.0,S,Nelson,7/5/2017,16.0,3084,4.0,1.0,1.0,2506.7,188.8,1881.0,Moreland,-37.673,144.8884,Western Metropolitan,2154,W,2.0,97.0,No,Yes,Yes,Good,,None,1993.0
Reservoir,3,t,298639.0,SP,Biggin,4/2/2017,20.4,3049,4.0,4.0,,2768.4,,,Port Phillip,-37.8174,145.1209,Northern Metropolitan,1297,SW,2.0,79.0,Yes,No,No,,Gas,Double,2020.0
Richmond,5,t,2800206.0,SA,hockingstuart,7/5/2017,31.3,3139,1.0,2.0,,,,,Port Phillip,-37.7757,144.8821,Eastern Metropolitan,9401,NE,1.0,94.0,No,No,,,None,,2010.0
Brunswick,3,t,2786409.0,VB,Barry,3/12/2016,12.8,3206,3.0,4.0,4.0,2200.9,490.7,1895.0,Moreland,-37.6998,144.9061,Southern Metropolitan,29800,SE,,37.0,,Yes,Yes,Excellent,Gas,,
Essendon,3,u,846682.0,S,Biggin,1/9/2018,6.4,3014,3.0,3.0,4.0,1162.2,402.2,1897.0,Moonee Valley,-37.7984,144.8596,South-Eastern Metropolitan,22496,NW,4.0,89.0,No,,Yes,Good,Solar,Single,
Richmond,2,t,,S,Marshall,18/6/2016,18.1,3144,2.0,2.0,,518.7,,1877.0,Moreland,-37.6301,145.1498,South-Eastern Metropolitan,524,N,4.0,87.0,,No,No,Poor,Gas,,
Brunswick,3,t,2130164.0,SP,Barry,7/5/2017,26.6,3033,2.0,3.0,1.0,,366.5,1910.0,Moonee Valley,-37.5624,145.0317,Southern Metropolitan,5560,W,,56.0,Yes,No,No,Good,Electric,,
Preston,6,h,432447.0,S,Barry,18/6/2016,5.6,3034,6.0,2.0,,629.6,,,Darebin,-37.5768,144.8044,Southern Metropolitan,24336,S,,62.0,Yes,No,No,Average,Gas,Single,
Preston,1,h,2695738.0,PI,hockingstuart,18/6/2016,16.0,3038,5.0,2.0,4.0,1399.9,,1987.0,Boroondara,-37.7318,145.0748,Eastern Metropolitan,29129,NW,,75.0,,No,Yes,Excellent,Electric,None,2011.0
South Yarra,4,h,924932.0,SA,Barry,1/9/2018,2.6,3205,2.0,3.0,3.0,,45.0,,Yarra,-37.8081,144.7193,Southern Metropolitan,27190,,1.0,,No,Yes,No,Excellent,,,
Malvern,1,u,630069.0,S,hockingstuart,7/5/2017,3.1,3182,4.0,1.0,,303.8,477.3,1971.0,Port Phillip,-37.7765,144.8982,South-Eastern Metropolitan,11436,E,,98.0,No,No,No,Average,Electric,Carport,
Hawthorn,5,t,254136.0,S,Biggin,18/6/2016,17.9,3186,1.0,4.0,,139.8,514.4,,Moonee Valley,-37.8179,145.1549,Eastern Metropolitan,27426,,1.0,44.0,No,Yes,Yes,,Gas,,
Coburg,4,h,,SP,Marshall,3/12/2016,11.8,3132,3.0,2.0,,1839.1,470.2,1881.0,Darebin,-37.7733,145.0449,Southern Metropolitan,5614,S,3.0,96.0,Yes,No,No,Excellent,,,2017.0
Richmond,3,h,2691559.0,PI,Marshall,4/2/2017,29.9,3029,5.0,,3.0,1026.6,,,Boroondara,-37.9448,145.0965,Eastern Metropolitan,29649,NW,1.0,57.0,No,No,Yes,Average,Solar,None,2012.0
Reservoir,5,h,360957.0,S,Barry,4/2/2017,21.9,3131,2.0,2.0,4.0,1282.9,,,Darebin,-37.9279,145.1657,Eastern Metropolitan,24267,E,3.0,92.0,No,Yes,Yes,Excellent,Solar,Double,
Richmond,4,t,789767.0,SA,Barry,1/9/2018,17.0,3142,5.0,4.0,,,65.6,,Yarra,-37.6415,145.0873,Northern Metropolitan,12892,SE,4.0,32.0,No,Yes,Yes,Poor,Gas,Carport,
Hawthorn,6,t,369392.0,SA,Biggin,7/5/2017,15.5,3102,,2.0,1.0,,,,,-37.8161,144.7443,Southern Metropolitan,27780,N,1.0,,,Yes,Yes,Poor,Solar,,
Camberwell,6,t,910183.0,S,hockingstuart,7/5/2017,18.4,3162,1.0,1.0,,60.5,,,Moreland,,144.8153,Northern Metropolitan,10148,,1.0,73.0,Yes,Yes,Yes,Good,,None,
Reservoir,6,u,1500104.0,PI,Marshall,4/2/2017,3.3,3073,5.0,2.0,,2700.3,306.6,1997.0,Moreland,-37.758,144.95,South-Eastern Metropolitan,26149,W,2.0,,Yes,No,Yes,,None,Carport,2015.0
Collingwood,6,u,1056017.0,SA,hockingstuart,3/12/2016,31.5,3054,5.0,1.0,,692.5,497.0,1874.0,Darebin,-37.6276,144.7069,Eastern Metropolitan,9927,SW,3.0,,Yes,Yes,,,Gas,Double,
St Kilda,3,h,2233352.0,SA,Biggin,4/2/2017,34.9,3193,6.0,2.0,,,420.5,2013.0,Yarra,-37.6846,145.0123,South-Eastern Metropolitan,21581,S,2.0,,Yes,No,No,Excellent,Solar,Carport,2020.0
Coburg,1,t,2111627.0,PI,Marshall,4/2/2017,8.0,3059,5.0,4.0,2.0,,125.9,1899.0,,-37.8696,145.0286,Eastern Metropolitan,4984,NW,3.0,35.0,No,No,Yes,Good,Electric,,
Collingwood,4,h,1111501.0,PI,Marshall,7/5/2017,6.0,3023,3.0,,,2488.9,,,Moreland,-37.7709,145.0482,Southern Metropolitan,7936,E,2.0,48.0,Yes,Yes,Yes,Good,Electric,Carport,2002.0
Camberwell,3,t,,S,Nelson,18/6/2016,6.7,3219,4.0,2.0,4.0,368.4,,2003.0,Darebin,-37.6683,,Western Metropolitan,14002,,4.0,,Yes,Yes,No,,Solar,,
Camberwell,6,t,,VB,Biggin,3/12/2016,23.8,3021,2.0,2.0,3.0,1550.1,109.3,1957.0,Boroondara,-37.8178,144.9262,Southern Metropolitan,3866,NE,,34.0,Yes,Yes,No,Good,Gas,,2001.0
Hawthorn,1,t,1445344.0,SP,Biggin,7/5/2017,23.8,3171,,1.0,5.0,2203.7,201.1,,Yarra,-37.8727,145.1278,Eastern Metropolitan,13751,E,2.0,78.0,Yes,No,No,Good,Electric,None,1994.0
